Animes-,,,,,,,,,,,,,,,,
Animes-,Minha Nota,Visto/Assistindo,Em lançamento,Data,Reassistir,,Temporadas,Eps,Eps/Temporada,Lançamento,Gênero,Fichado,Vezes Assistido,Duração dos Eps,Eps Assistidos,Tempo
Tensei Shitara Slime Datta Ken,94,Assistido,Não,2ª Temporada?,1x,,1,25,25,,,,1,22,25,550
Kyokou Suiri,94,Assistido,Não,,1x,,1,12,12,2020,ComédiaDemônioMistérioRomanceShounenSobrenatural,V,1,22,12,264
Hachi-Nan Tte. Sore Wa Nai Deshou!,93,Assistido,Sim,,,,1,12,12,2020,AçãoFantasiaMagia,V,1,22,12,264
Akuma No Riddle,93,Assistido,,,,,1,12,12,2014,AçãoSchoolShoujo-aiYuri,V,1,22,12,264
Id-0,93,Assistido,,,,,1,12,12,2017,EspaçoFicção CientíficaMecha,V,1,22,12,264
Isuca,92,Assistido,Não,2ª Temporada?,1x,,1,10,10,2015,AçãoComédiaEcchiRomanceSeinenSobrenaturalVida Escolar,V,1,22,10,220
Seishun Buta Yarou Wa Bunny Girl Senpai No Yume Wo Minai,92,Assistido,Não,2ª Temporada?,+,,1,13,13,,,,1,22,13,286
Saiki Kusui No ?-Nan,90,Assistido,Não,-,1x,10,3,52,26. 24. 2,,,,1,22,62,1364
Chrome Shelled Regios (Koukaku No Regios),90,Assistido,Não,-,1x,,1,24,24,,,,1,22,24,528
Death Note,90,Assistido,Não,-,1x,,1,37,37,,,,1,22,37,814
Goblin Slayer,90,Assistido,Não,-,1x,,1,13,13,,,,1,22,13,286
Trigun,90,Assistido,Não,-,1x,,1,26,26,1998,AçãoAventuraComédiaDramaFicção CientíficaShounen,V,1,22,26,572
Blade Dance Of The Elementalers,90,Assistido,Não,2 Temporada-,2x,,1,12,12,2014,Ação. Comédia. Ecchi. Fantasia. Harém?. Romance. School. Sobrenatural,V,2,22,24,528
Assassins Pride,90,Assistido,Não,2ª Temporada?,1x,,1,12,12,2019,Fantasia. Magia,V,1,22,12,264
Luck & Logic,90,Assistido,Não,,1x,,1,12,12,2016,Ação. Fantasia,V,1,22,12,264
11 Eyes,90,Assistido,,,1x,,1,12,12,2009,AçãoEcchiSobrenaturalSuperpoder,V,1,22,12,264
Blade Dance Of The Elementalers Ovas,90,Assistido,,,1x,,1,6,6,2014,,,1,2.6,6,16
Highschool Dxd,90,Assistido,Não,,0x,37,4,50,13. 12. 12. 13,2012-2018,ComédiaDemônioEcchiHarém?RomanceSchool,V,0,22,37,814
Mayo Chiki!,90,Assistido,,,,,1,13,13,2011,ComédiaEcchiHarém?RomanceVida Escolar,V,1,22,13,286
Dual! Parallel Trouble Adventure,90,Assistido,,,,,1,13,13,1999,AçãoComédiaFicção CientíficaHarém?MechaShounen,V,1,23,13,299
Renai Boukun,90,Assistido,,,,,1,12,12,2017,ComédiaEcchiHarém?RomanceSchoolSobrenatural,V,1,22,,
Amatsuki,90,Assistido,,,,,1,13,13,2008,AçãoDemônioFantasiaHistóricoJoseiSobrenatural,V,1,22,13,286
Outbreak Company,89,Assistido,Não,-,1x,,1,13,13,,,,1,22,13,286
Shoumetsu Toshi,89,Assistido,Não,-,1x,,1,11,11,,,,1,22,11,242
Ore Ga Ojousama Gakkou Ni Shomin Sample Toshite Gets Sareta Ken,89,Assistido,Não,,1x,,1,12,12,2015,ComédiaEcchiHarém?RomanceVida Escolar,V,1,22,12,264
Taishou Chicchai-San,88,Assistido,,,1x,,1,12,12,2017,Histórico. Sobrenatural,V,1,2.5,12,30
Ore No Kanojo To Osananajimi Ga Shuraba Sugiru (Oreshura),88,Assistido,,,,,1,13,13,2013,ComédiaHarém?RomanceVida Escolar,V,1,22,13,286
Shingeki No Kiojin,86,Assistido,Não,4ª Temporada Outubro,1x,,3,59,,,,,1,22,59,1298
Castelvania,85,Assistido,Não,-,1x,,2,12,4.8,,,,1,22,12,264
Neon Genesis Evangeliom,85,Assistido,Não,-,1x,,1,26,26,,,,1,22,26,572
Undefeated Bahamut Chronicle,85,Assistido,Não,-,1x,8,1,12,12,,,,1,22,20,440
Mondaiji-Tachi Ga Isekai Kara Kuru Sou Desu Yo?,85,Assistido,Não,2ª Temporada?,1x,,1,10,10,2013,Ação. Comédia. Fantasia. Sobrenatural,V,1,22,10,220
Mahou Sensou,85,Assistido,Não,,1x,,1,12,12,2014,AçãoFantasiaMagia,V,1,22,12,264
Gunjou No Magmel,85,Assistido,,,1x,,1,13,13,2019,AçãoAventuraFantasiaShounenSuperpoder,V,1,22,13,286
Kuusen Madoushi Kouhosei No Kyoukan,80,Assistido,,,2x,,1,12,12,2015,Ação. Drama. Fantasia. Ficção Científica. Harém?. Magia. Vida Escolar,V,2,22,24,528
Bloodivores,80,Assistido,,,1x,,1,12,12,2016,Ação. Sobrenatural. Vampiros,V,1,22,12,264
Code- Breaker,80,Assistido,,,0x,10,1,13,13,2012,AçãoComédiaSchoolShounenSobrenaturalSuperpoder,V,0,22,10,220
Nourin,75,Assistido,,,,,1,12,12,2014,ComédiaEcchiParódiaRomanceSchool,V,1,22,12,264
Ixion Saga,70,Assistido,Não,,1x,,1,25,25,2012,Ação. Comédia. Fantasia,V,1,22,25,550
School Days,45,Assistido,,,,,1,12,12,2007,DramaHarém?RomanceSchool,V,1,22,12,264
Maou Gakuin No Futekigousha,100,Assistindo,Sim,Sábado,,,,,,,,,1,22,0,0
Sword Art Online Alicization ,98.5,Assistindo,Não,Sábado,1x,4,2,37,24.13,2018,AçãoAventuraFantasiaIsekaiJogosRomance,V,1,22,4,88
Enen No Shouboutai (Fire Force),98.5,Assistindo,Sim,Sábado,1x,5,1,24,24,2019-2020,AçãoComédiaFicção CientíficaShounen,V,1,22,5,110
Shokugeki No Soma,98,Assistindo,Sim,Sábado,1x,,4,73,24. 13. 24. 12,2015-2019,Shounen. Ecchi. Vida Escolar. Culinária,V,1,22,0,0
Kore Wa Zombie Desuka?,98,Assistindo,,,1x,12,,,,2011,AçãoComédiaEcchiHarém?MagiaSobrenatural,V,1,22,12,264
3d Kanojo Real Girl,98,Assistindo,,,,2,,,,,,,1,22,2,44
Black Clover,97.5,Assistindo,Sim,Terça-Feira,1x,,2,125,,,,,1,22,0,0
Jojo No Kimyou Na Bouken 2014,96.5,Assistindo,Não,-,1x,,,,,,,,1,22,0,0
Uzaki-Chan,96,Assistindo,,Sexta-Feira,,7,,,,,,,1,22,7,154
Fate/Grand Order - Absolute Demonic Front- Babilonia,95,Assistindo,Sim,Sábado,1x,,,,,,,,1,22,0,0
Maken-Ki Two,95,Assistindo,,,,3,1,10,10,2014,AçãoArtes MarciaisEcchiHarém?SchoolSobrenatural,V,1,22,3,66
Medaka Box,93,Assistindo,,,,12,2,24,,2012,AçãoArtes MarciaisComédiaEcchiShounenSuperpoderVida Escolar,V,1,22,12,264
Nanatsu No Taizai,90,Assistindo,Sim,Quarta-Feira,1x,,3,48,14.24,,,,1,22,0,0
Drifting Dragons,,Assistindo,,Quinta-Feira,1x,,,,,,,,1,22,0,0
Dorohedoro,,Assistindo,,Segunda-feira,1x,,,,,,,,1,22,0,0
Shomin Sample,,Assistindo,,,1x,T1E2,,,,,,,1,22,#VALOR!,#VALOR!
Shakugan No Shana,,Assistindo,,,1x,T1E10,,,,,,,1,22,#VALOR!,#VALOR!
Ange Vierge,96,Desisti,,,,5,,,,,,,1,22,5,110
Dagashi Kashi,95,Desisti,,,,2,1,25,25,2016,ComédiaShounenSlice Of Life,V,1,22,2,44
Boku No Kanojo Ga Shobitch,90,Desisti,,,,5,1,10,10,2017,ComédiaEcchiHarém?RomanceSchool,V,1,22,5,110
Kampfer,85,Desisti,,,,,1,14,14,2009,AçãoComédiaEcchiRomanceShoujo-aiSuperpoderVida Escolar,V,1,22,0,0
Hataage! Kemono Michi,85,Desisti,,,,4,1,12,12,2019,ComédiaFantasiaShounen,V,1,22,4,88
Kyoukai Senjou No Horizon (Horizon In The Middle Of Nowere),80,Desisti,,,,1,,,,,,,1,22,1,22
Dakara Boku Wa. H Ga Dekinai,80,Desisti,,,,,,,,,,,1,22,0,0
Aria The Animation,80,Desisti,,,,,,,,,,,1,22,0,0
Ikkitousen Anjos Guerreiros,75,Desisti,,,,3,,,,,,,1,22,3,66
Kakegurui,60,Desisti,Não,,,3,2,,,,,,1,22,3,66
Azur Lane,60,Desisti,Não,,,1,1,,,,,,1,22,1,22
Madouka Magica,50,Desisti,Não,-,,2,,,,,,,1,22,2,44
Hidan No Aria Aa ,20,Desisti,,,,6,1,12,12,2015,AçãoSchoolShoujo-ai,V,1,22,6,132
Honzuki No Gekokujou,10,Desisti,Não,,,2,,,,,,,1,22,2,44
Fairy Gone,1,Desisti,Não,-,,1,1,12,12,,,,1,22,1,22
